ledger_id,contract_id,created_at,period,ledger_type,ledger_status,initial_balance,balance,due_date,paid_off_date
bli61fy,0h6b6,2020-07-20T09:46:22.481,4,INTEREST,UNPAID,0,0,2020-11-20T16:59:59.999,
vznnkvn,0h6b6,2020-07-20T09:46:22.481,2,PRINCIPAL,PARTIALLY_PAID,388500,247000,2020-09-20T16:59:59.999,
8t89plh,0h6b6,2020-07-20T09:46:22.481,2,INTEREST,UNPAID,0,0,2020-09-20T16:59:59.999,
xnpwhmf,0h6b6,2020-07-20T09:46:22.481,5,PRINCIPAL,UNPAID,388500,388500,2020-12-20T16:59:59.999,
9cj1k6c,0h6b6,2020-07-20T09:46:22.481,5,INTEREST,UNPAID,0,0,2020-12-20T16:59:59.999,
vp6xkml,0h6b6,2020-07-20T09:46:22.481,3,PRINCIPAL,UNPAID,388500,388500,2020-10-20T16:59:59.999,
13v0rf1,0h6b6,2020-07-20T09:46:22.481,3,INTEREST,UNPAID,0,0,2020-10-20T16:59:59.999,
nznla8u,0h6b6,2020-07-20T09:46:22.481,6,PRINCIPAL,UNPAID,388500,388500,2021-01-20T16:59:59.999,
x0dgo93,0h6b6,2020-07-20T09:46:22.481,6,INTEREST,UNPAID,0,0,2021-01-20T16:59:59.999,
eew2stf,0h6b6,2020-08-23T17:09:09.698,1,LATE_FEE,PARTIALLY_PAID,388000,318000,2020-08-20T16:59:59.999,
csjwn70,0oz0u,2020-09-23T17:08:16.975,2,LATE_FEE,UNPAID,315000,315000,2020-09-20T16:59:59.999,
ux7opf6,0oz0u,2020-07-20T06:19:07.132,1,INTEREST,PAID,0,0,2020-08-20T16:59:59.999,2020-08-20T02:24:56
0tp32in,0oz0u,2020-07-20T06:19:07.132,1,PRINCIPAL,PAID,369000,0,2020-08-20T16:59:59.999,2020-08-20T02:24:56
q13aave,0oz0u,2020-07-20T06:19:07.132,4,PRINCIPAL,UNPAID,369000,369000,2020-11-20T16:59:59.999,
w0cflif,0oz0u,2020-07-20T06:19:07.132,4,INTEREST,UNPAID,0,0,2020-11-20T16:59:59.999,
c8ndfol,0oz0u,2020-07-20T06:19:07.132,2,PRINCIPAL,UNPAID,369000,369000,2020-09-20T16:59:59.999,
dfud281,0oz0u,2020-07-20T06:19:07.132,2,INTEREST,UNPAID,0,0,2020-09-20T16:59:59.999,
q1d252x,0oz0u,2020-07-20T06:19:07.132,5,PRINCIPAL,UNPAID,369000,369000,2020-12-20T16:59:59.999,
l8d3oif,0oz0u,2020-07-20T06:19:07.132,5,INTEREST,UNPAID,0,0,2020-12-20T16:59:59.999,
6y02p6d,0oz0u,2020-07-20T06:19:07.132,3,PRINCIPAL,UNPAID,369000,369000,2020-10-20T16:59:59.999,
1irg2c5,0oz0u,2020-07-20T06:19:07.132,3,INTEREST,UNPAID,0,0,2020-10-20T16:59:59.999,
1szzkkk,0oz0u,2020-07-20T06:19:07.132,6,PRINCIPAL,UNPAID,369000,369000,2021-01-20T16:59:59.999,
lgx70lg,0oz0u,2020-07-20T06:19:07.132,6,INTEREST,UNPAID,0,0,2021-01-20T16:59:59.999,
dbty9fc,0tefg,2020-07-20T06:14:20.944,1,INTEREST,PAID,0,0,2020-08-20T16:59:59.999,2020-07-27T04:02:32
mvezijv,0tefg,2020-07-20T06:14:20.944,1,PRINCIPAL,PAID,291500,0,2020-08-20T16:59:59.999,2020-07-27T04:02:32
3gl9oh9,0tefg,2020-07-20T06:14:20.944,4,PRINCIPAL,UNPAID,291500,291500,2020-11-20T16:59:59.999,
19d012g,0tefg,2020-07-20T06:14:20.944,4,INTEREST,UNPAID,0,0,2020-11-20T16:59:59.999,
as17suz,0tefg,2020-07-20T06:14:20.944,2,INTEREST,PAID,0,0,2020-09-20T16:59:59.999,2020-09-18T03:08:12
m05je31,0tefg,2020-07-20T06:14:20.944,2,PRINCIPAL,PAID,291500,0,2020-09-20T16:59:59.999,2020-09-18T03:08:12
stnj9xc,0tefg,2020-07-20T06:14:20.944,5,PRINCIPAL,UNPAID,291500,291500,2020-12-20T16:59:59.999,
lxhm3t9,0tefg,2020-07-20T06:14:20.944,5,INTEREST,UNPAID,0,0,2020-12-20T16:59:59.999,
56essfc,0tefg,2020-07-20T06:14:20.944,3,PRINCIPAL,UNPAID,291500,291500,2020-10-20T16:59:59.999,
sqr9eui,0tefg,2020-07-20T06:14:20.944,3,INTEREST,UNPAID,0,0,2020-10-20T16:59:59.999,
b106vnx,0tefg,2020-07-20T06:14:20.944,6,PRINCIPAL,UNPAID,291500,291500,2021-01-20T16:59:59.999,
awqb2zn,0tefg,2020-07-20T06:14:20.944,6,INTEREST,UNPAID,0,0,2021-01-20T16:59:59.999,
o51yqfj,1sk6y,2020-09-23T17:08:18.055,2,LATE_FEE,UNPAID,315000,315000,2020-09-20T16:59:59.999,
bc6gwbg,1sk6y,2020-07-20T06:11:39.342,1,INTEREST,UNPAID,0,0,2020-08-20T16:59:59.999,
18j37ao,1sk6y,2020-07-20T06:11:39.342,1,PRINCIPAL,UNPAID,324000,324000,2020-08-20T16:59:59.999,
km74s2o,1sk6y,2020-07-20T06:11:39.342,4,INTEREST,UNPAID,0,0,2020-11-20T16:59:59.999,
qpv1qt7,1sk6y,2020-07-20T06:11:39.342,4,PRINCIPAL,UNPAID,324000,324000,2020-11-20T16:59:59.999,
6o1oj7c,1sk6y,2020-07-20T06:11:39.342,2,INTEREST,UNPAID,0,0,2020-09-20T16:59:59.999,
jhdf3kr,1sk6y,2020-07-20T06:11:39.342,2,PRINCIPAL,UNPAID,324000,324000,2020-09-20T16:59:59.999,
8hj8fwr,1sk6y,2020-07-20T06:11:39.342,5,INTEREST,UNPAID,0,0,2020-12-20T16:59:59.999,
7f0avd1,1sk6y,2020-07-20T06:11:39.342,5,PRINCIPAL,UNPAID,324000,324000,2020-12-20T16:59:59.999,
sccilon,1sk6y,2020-07-20T06:11:39.342,3,INTEREST,UNPAID,0,0,2020-10-20T16:59:59.999,
99oky1r,1sk6y,2020-07-20T06:11:39.342,3,PRINCIPAL,UNPAID,324000,324000,2020-10-20T16:59:59.999,
1wttdgd,1sk6y,2020-08-23T17:09:03.931,1,LATE_FEE,UNPAID,323000,323000,2020-08-20T16:59:59.999,
4n7l6ta,2bik3,2020-07-20T03:12:23.754,1,INTEREST,PAID,224000,0,2020-08-20T16:59:59.000,2020-08-19T06:54:30
jr1w8yn,2bik3,2020-07-20T03:12:23.754,1,PRINCIPAL,PAID,862500,0,2020-08-20T16:59:59.000,2020-08-19T06:54:30
ag9r5kw,2bik3,2020-07-20T03:12:23.754,2,INTEREST,PAID,155000,0,2020-09-20T16:59:59.000,2020-09-21T08:59:02
c59niwf,2bik3,2020-07-20T03:12:23.754,2,PRINCIPAL,PAID,931500,0,2020-09-20T16:59:59.000,2020-09-21T08:59:02
sfpelvc,2bik3,2020-07-20T03:12:23.754,3,INTEREST,UNPAID,80480,80480,2020-10-20T16:59:59.000,
bj8sv02,2bik3,2020-07-20T03:12:23.754,3,PRINCIPAL,UNPAID,1006020,1006020,2020-10-20T16:59:59.000,
sknvm5n,2rh13,2020-09-23T17:08:23.251,2,LATE_FEE,UNPAID,630000,630000,2020-09-20T16:59:59.999,
8mq957a,2rh13,2020-07-20T08:09:21.987,1,PRINCIPAL,UNPAID,1560500,1560500,2020-08-20T16:59:59.999,
4pwffyx,2rh13,2020-07-20T08:09:21.987,1,INTEREST,UNPAID,0,0,2020-08-20T16:59:59.999,
8x68cai,2rh13,2020-07-20T08:09:21.987,4,PRINCIPAL,UNPAID,1560500,1560500,2020-11-20T16:59:59.999,
lg3t74u,2rh13,2020-07-20T08:09:21.987,4,INTEREST,UNPAID,0,0,2020-11-20T16:59:59.999,
9haj0eu,2rh13,2020-07-20T08:09:21.987,2,PRINCIPAL,UNPAID,1560500,1560500,2020-09-20T16:59:59.999,
hvo5plw,2rh13,2020-07-20T08:09:21.987,2,INTEREST,UNPAID,0,0,2020-09-20T16:59:59.999,
ju7bxoh,2rh13,2020-07-20T08:09:21.987,5,PRINCIPAL,UNPAID,1560500,1560500,2020-12-20T16:59:59.999,
zfo3xwu,2rh13,2020-07-20T08:09:21.987,5,INTEREST,UNPAID,0,0,2020-12-20T16:59:59.999,
9me776e,2rh13,2020-07-20T08:09:21.987,3,PRINCIPAL,UNPAID,1560500,1560500,2020-10-20T16:59:59.999,
ww87bgg,2rh13,2020-07-20T08:09:21.987,3,INTEREST,UNPAID,0,0,2020-10-20T16:59:59.999,
zt2auvm,2rh13,2020-07-20T08:09:21.987,6,PRINCIPAL,UNPAID,1560500,1560500,2021-01-20T16:59:59.999,
zaljbbg,2rh13,2020-07-20T08:09:21.987,6,INTEREST,UNPAID,0,0,2021-01-20T16:59:59.999,
j4oajzr,2rh13,2020-08-23T17:09:09.852,1,LATE_FEE,UNPAID,950000,950000,2020-08-20T16:59:59.999,
nm1xxm5,4064n,2020-09-23T17:08:14.919,2,LATE_FEE,UNPAID,315000,315000,2020-09-20T16:59:59.999,
44p7cb5,4064n,2020-07-20T06:21:18.145,1,PRINCIPAL,UNPAID,491500,491500,2020-08-20T16:59:59.999,
5wn694r,4064n,2020-07-20T06:21:18.145,1,INTEREST,UNPAID,0,0,2020-08-20T16:59:59.999,
lfxr9h2,4064n,2020-07-20T06:21:18.145,4,PRINCIPAL,UNPAID,491500,491500,2020-11-20T16:59:59.999,
gueuqyv,4064n,2020-07-20T06:21:18.145,4,INTEREST,UNPAID,0,0,2020-11-20T16:59:59.999,
r6xe82u,4064n,2020-07-20T06:21:18.145,2,PRINCIPAL,UNPAID,491500,491500,2020-09-20T16:59:59.999,
om5dyco,4064n,2020-07-20T06:21:18.145,2,INTEREST,UNPAID,0,0,2020-09-20T16:59:59.999,
ayn7x9j,4064n,2020-07-20T06:21:18.145,5,PRINCIPAL,UNPAID,491500,491500,2020-12-20T16:59:59.999,
2gj8kc9,4064n,2020-07-20T06:21:18.145,5,INTEREST,UNPAID,0,0,2020-12-20T16:59:59.999,
i0o09us,4064n,2020-07-20T06:21:18.145,3,PRINCIPAL,UNPAID,491500,491500,2020-10-20T16:59:59.999,
i5bzrg7,4064n,2020-07-20T06:21:18.145,3,INTEREST,UNPAID,0,0,2020-10-20T16:59:59.999,
1u0zqn5,4064n,2020-07-20T06:21:18.145,6,PRINCIPAL,UNPAID,491500,491500,2021-01-20T16:59:59.999,
o8n4g43,4064n,2020-07-20T06:21:18.145,6,INTEREST,UNPAID,0,0,2021-01-20T16:59:59.999,
lqcrzva,4064n,2020-08-23T17:09:06.841,1,LATE_FEE,UNPAID,475000,475000,2020-08-20T16:59:59.999,
e18qjnx,46vj4,2020-07-20T11:47:39.334,1,INTEREST,PAID,312000,0,2020-08-20T16:59:59.000,2020-08-20T13:13:35
fzsbyj1,46vj4,2020-07-20T11:47:39.335,1,PRINCIPAL,PAID,1201500,0,2020-08-20T16:59:59.000,2020-08-20T13:13:35
l5mdowp,46vj4,2020-07-20T11:47:39.335,2,INTEREST,PAID,215880,0,2020-09-20T16:59:59.000,2020-09-20T00:45:13
cdgwj16,46vj4,2020-07-20T11:47:39.335,2,PRINCIPAL,PAID,1297620,0,2020-09-20T16:59:59.000,2020-09-20T00:45:13
0gtmp7w,46vj4,2020-07-20T11:47:39.335,3,INTEREST,UNPAID,112070.4,112070.4,2020-10-20T16:59:59.000,
swttytr,46vj4,2020-07-20T11:47:39.335,3,PRINCIPAL,UNPAID,1401429.6,1401429.6,2020-10-20T16:59:59.000,
51l7xax,562pu,2020-07-20T11:27:59.338,1,INTEREST,PAID,312000,0,2020-08-20T16:59:59.000,2020-08-21T11:05:45
vyqjxkp,562pu,2020-07-20T11:27:59.338,1,PRINCIPAL,PAID,1201500,0,2020-08-20T16:59:59.000,2020-08-21T11:05:45
3ss5lzv,562pu,2020-07-20T11:27:59.338,2,INTEREST,PAID,215880,0,2020-09-20T16:59:59.000,2020-09-21T08:36:23
907f6ps,562pu,2020-07-20T11:27:59.338,2,PRINCIPAL,PAID,1297620,0,2020-09-20T16:59:59.000,2020-09-21T08:36:23
bk8a7nu,562pu,2020-07-20T11:27:59.338,3,PRINCIPAL,PAID,1401429.6,0,2020-10-20T16:59:59.000,2020-10-08T02:54:29
zya379c,562pu,2020-07-20T11:27:59.338,3,INTEREST,PAID,112070.4,0,2020-10-20T16:59:59.000,2020-10-08T02:54:29
uqutn2h,56qqc,2020-07-20T01:33:48.670,1,INTEREST,PAID,0,0,2020-08-20T16:59:59.999,2020-08-23T15:03:47
b8qouob,56qqc,2020-07-20T01:33:48.670,1,PRINCIPAL,PAID,202000,0,2020-08-20T16:59:59.999,2020-08-23T15:03:47
he3z2fm,56qqc,2020-07-20T01:33:48.670,4,INTEREST,UNPAID,0,0,2020-11-20T16:59:59.999,
a28nfy0,56qqc,2020-07-20T01:33:48.670,4,PRINCIPAL,UNPAID,202000,202000,2020-11-20T16:59:59.999,
s0zd7zf,56qqc,2020-07-20T01:33:48.670,2,INTEREST,PAID,0,0,2020-09-20T16:59:59.999,2020-09-20T13:10:17
lt3adlg,56qqc,2020-07-20T01:33:48.670,2,PRINCIPAL,PAID,202000,0,2020-09-20T16:59:59.999,2020-09-20T13:10:17
l8c4ntx,56qqc,2020-07-20T01:33:48.670,5,INTEREST,UNPAID,0,0,2020-12-20T16:59:59.999,
df87nz4,56qqc,2020-07-20T01:33:48.670,5,PRINCIPAL,UNPAID,202000,202000,2020-12-20T16:59:59.999,
4d4nitf,56qqc,2020-07-20T01:33:48.670,3,INTEREST,UNPAID,0,0,2020-10-20T16:59:59.999,
hrn04ey,56qqc,2020-07-20T01:33:48.670,3,PRINCIPAL,UNPAID,202000,202000,2020-10-20T16:59:59.999,
hvc51h0,56qqc,2020-07-20T01:33:48.670,6,INTEREST,UNPAID,0,0,2021-01-20T16:59:59.999,
z8kf9d3,56qqc,2020-07-20T01:33:48.670,6,PRINCIPAL,UNPAID,202000,202000,2021-01-20T16:59:59.999,
o7ljxcb,5a6jf,2020-09-23T17:08:13.861,2,LATE_FEE,UNPAID,315000,315000,2020-09-20T16:59:59.999,
7iydc1q,5a6jf,2020-07-20T02:04:05.629,1,PRINCIPAL,UNPAID,568000,568000,2020-08-20T16:59:59.999,
42yay7t,5a6jf,2020-07-20T02:04:05.629,1,INTEREST,UNPAID,0,0,2020-08-20T16:59:59.999,
v8l7ez5,5a6jf,2020-07-20T02:04:05.629,4,PRINCIPAL,UNPAID,568000,568000,2020-11-20T16:59:59.999,
sd3c1ux,5a6jf,2020-07-20T02:04:05.629,4,INTEREST,UNPAID,0,0,2020-11-20T16:59:59.999,
jmpsh3u,5a6jf,2020-07-20T02:04:05.629,2,PRINCIPAL,UNPAID,568000,568000,2020-09-20T16:59:59.999,
k3vastx,5a6jf,2020-07-20T02:04:05.629,2,INTEREST,UNPAID,0,0,2020-09-20T16:59:59.999,
fpolkds,5a6jf,2020-07-20T02:04:05.629,5,PRINCIPAL,UNPAID,568000,568000,2020-12-20T16:59:59.999,
b8q09t7,5a6jf,2020-07-20T02:04:05.629,5,INTEREST,UNPAID,0,0,2020-12-20T16:59:59.999,
zdhn4j6,5a6jf,2020-07-20T02:04:05.629,3,PRINCIPAL,UNPAID,568000,568000,2020-10-20T16:59:59.999,
df21v64,5a6jf,2020-07-20T02:04:05.629,3,INTEREST,UNPAID,0,0,2020-10-20T16:59:59.999,
u591qc9,5a6jf,2020-07-20T02:04:05.629,6,PRINCIPAL,UNPAID,568000,568000,2021-01-20T16:59:59.999,
y47tlvo,5a6jf,2020-07-20T02:04:05.629,6,INTEREST,UNPAID,0,0,2021-01-20T16:59:59.999,
rasc9zk,5a6jf,2020-08-23T17:09:03.944,1,LATE_FEE,UNPAID,475000,475000,2020-08-20T16:59:59.999,
3td80gl,5j198,2020-09-23T17:08:18.214,2,LATE_FEE,UNPAID,315000,315000,2020-09-20T16:59:59.999,
wm11fnu,5j198,2020-07-20T06:14:32.441,1,INTEREST,UNPAID,0,0,2020-08-20T16:59:59.999,
m991xwt,5j198,2020-07-20T06:14:32.441,1,PRINCIPAL,UNPAID,959500,959500,2020-08-20T16:59:59.999,
cvy5liu,5j198,2020-07-20T06:14:32.441,4,INTEREST,UNPAID,0,0,2020-11-20T16:59:59.999,
u72t7oy,5j198,2020-07-20T06:14:32.441,4,PRINCIPAL,UNPAID,959500,959500,2020-11-20T16:59:59.999,
m96ah60,5j198,2020-07-20T06:14:32.441,2,INTEREST,UNPAID,0,0,2020-09-20T16:59:59.999,
48qblxz,5j198,2020-07-20T06:14:32.441,2,PRINCIPAL,UNPAID,959500,959500,2020-09-20T16:59:59.999,
xwnehwe,5j198,2020-07-20T06:14:32.441,5,INTEREST,UNPAID,0,0,2020-12-20T16:59:59.999,
4o3ysu7,5j198,2020-07-20T06:14:32.441,5,PRINCIPAL,UNPAID,959500,959500,2020-12-20T16:59:59.999,
w42fle7,5j198,2020-07-20T06:14:32.441,3,INTEREST,UNPAID,0,0,2020-10-20T16:59:59.999,
v0c1xsp,5j198,2020-07-20T06:14:32.441,3,PRINCIPAL,UNPAID,959500,959500,2020-10-20T16:59:59.999,
zo7v1hp,5j198,2020-07-20T06:14:32.441,6,INTEREST,UNPAID,0,0,2021-01-20T16:59:59.999,
ijjzcer,5j198,2020-07-20T06:14:32.441,6,PRINCIPAL,UNPAID,959500,959500,2021-01-20T16:59:59.999,
xmpj45n,5j198,2020-08-23T17:09:05.208,1,LATE_FEE,UNPAID,475000,475000,2020-08-20T16:59:59.999,
85b2ow4,5kqvs,2020-07-20T04:28:05.870,1,INTEREST,PAID,0,0,2020-08-20T16:59:59.999,2020-08-19T02:50:11
bel4odm,5kqvs,2020-07-20T04:28:05.870,1,PRINCIPAL,PAID,189500,0,2020-08-20T16:59:59.999,2020-08-19T02:50:11
c7uoj9n,5kqvs,2020-07-20T04:28:05.870,4,PRINCIPAL,UNPAID,189500,189500,2020-11-20T16:59:59.999,
n7zlydr,5kqvs,2020-07-20T04:28:05.870,4,INTEREST,UNPAID,0,0,2020-11-20T16:59:59.999,
2vp8ykl,5kqvs,2020-07-20T04:28:05.870,2,INTEREST,PAID,0,0,2020-09-20T16:59:59.999,2020-09-22T07:18:22
qx3grky,5kqvs,2020-07-20T04:28:05.870,2,PRINCIPAL,PAID,189500,0,2020-09-20T16:59:59.999,2020-09-22T07:18:22
n5d2bpc,5kqvs,2020-07-20T04:28:05.870,5,PRINCIPAL,UNPAID,189500,189500,2020-12-20T16:59:59.999,
j2sqyp1,5kqvs,2020-07-20T04:28:05.870,5,INTEREST,UNPAID,0,0,2020-12-20T16:59:59.999,
1yms5kj,5kqvs,2020-07-20T04:28:05.870,3,PRINCIPAL,UNPAID,189500,189500,2020-10-20T16:59:59.999,
22bc7uc,5kqvs,2020-07-20T04:28:05.870,3,INTEREST,UNPAID,0,0,2020-10-20T16:59:59.999,
rqpqah3,5kqvs,2020-07-20T04:28:05.870,6,PRINCIPAL,UNPAID,189500,189500,2021-01-20T16:59:59.999,
vjx94bb,5kqvs,2020-07-20T04:28:05.870,6,INTEREST,UNPAID,0,0,2021-01-20T16:59:59.999,
18hhjip,5op5o,2020-09-23T17:08:14.230,2,LATE_FEE,UNPAID,315000,315000,2020-09-20T16:59:59.999,
sl868xh,5op5o,2020-07-20T06:14:47.978,1,PRINCIPAL,UNPAID,607500,607500,2020-08-20T16:59:59.999,
xqgf6lo,5op5o,2020-07-20T06:14:47.978,1,INTEREST,UNPAID,0,0,2020-08-20T16:59:59.999,
t4unzai,5op5o,2020-07-20T06:14:47.978,4,PRINCIPAL,UNPAID,607500,607500,2020-11-20T16:59:59.999,
hziqh3a,5op5o,2020-07-20T06:14:47.978,4,INTEREST,UNPAID,0,0,2020-11-20T16:59:59.999,
dpgsnou,5op5o,2020-07-20T06:14:47.978,2,PRINCIPAL,UNPAID,607500,607500,2020-09-20T16:59:59.999,
29nzi5e,5op5o,2020-07-20T06:14:47.978,2,INTEREST,UNPAID,0,0,2020-09-20T16:59:59.999,
f8096tw,5op5o,2020-07-20T06:14:47.978,5,PRINCIPAL,UNPAID,607500,607500,2020-12-20T16:59:59.999,
5qdfodw,5op5o,2020-07-20T06:14:47.978,5,INTEREST,UNPAID,0,0,2020-12-20T16:59:59.999,
rlc1rvs,5op5o,2020-07-20T06:14:47.978,3,PRINCIPAL,UNPAID,607500,607500,2020-10-20T16:59:59.999,
oedqtbc,5op5o,2020-07-20T06:14:47.978,3,INTEREST,UNPAID,0,0,2020-10-20T16:59:59.999,
gxxjglp,5op5o,2020-07-20T06:14:47.978,6,PRINCIPAL,UNPAID,607500,607500,2021-01-20T16:59:59.999,
0c91ud5,5op5o,2020-07-20T06:14:47.978,6,INTEREST,UNPAID,0,0,2021-01-20T16:59:59.999,
uov54qo,5op5o,2020-08-23T17:09:05.539,1,LATE_FEE,UNPAID,475000,475000,2020-08-20T16:59:59.999,
2znlzwq,5wcp3,2020-09-23T17:08:13.663,2,LATE_FEE,UNPAID,201000,201000,2020-09-20T16:59:59.999,
sbuqvs9,5wcp3,2020-07-20T01:51:18.415,1,INTEREST,UNPAID,0,0,2020-08-20T16:59:59.999,
j8k7nyl,5wcp3,2020-07-20T01:51:18.415,1,PRINCIPAL,UNPAID,202000,202000,2020-08-20T16:59:59.999,
rxp1miw,5wcp3,2020-07-20T01:51:18.415,4,INTEREST,UNPAID,0,0,2020-11-20T16:59:59.999,
nxyz1xs,5wcp3,2020-07-20T01:51:18.415,4,PRINCIPAL,UNPAID,202000,202000,2020-11-20T16:59:59.999,
jmeq06q,5wcp3,2020-07-20T01:51:18.415,2,INTEREST,UNPAID,0,0,2020-09-20T16:59:59.999,
krq3r6j,5wcp3,2020-07-20T01:51:18.415,2,PRINCIPAL,UNPAID,202000,202000,2020-09-20T16:59:59.999,
49il6xt,5wcp3,2020-07-20T01:51:18.415,5,INTEREST,UNPAID,0,0,2020-12-20T16:59:59.999,
7wy2gwm,5wcp3,2020-07-20T01:51:18.415,5,PRINCIPAL,UNPAID,202000,202000,2020-12-20T16:59:59.999,
4537e1o,5wcp3,2020-07-20T01:51:18.415,3,INTEREST,UNPAID,0,0,2020-10-20T16:59:59.999,
ba6z3x8,5wcp3,2020-07-20T01:51:18.415,3,PRINCIPAL,UNPAID,202000,202000,2020-10-20T16:59:59.999,
aym670c,5wcp3,2020-07-20T01:51:18.415,6,INTEREST,UNPAID,0,0,2021-01-20T16:59:59.999,
ajg6r1q,5wcp3,2020-07-20T01:51:18.415,6,PRINCIPAL,UNPAID,202000,202000,2021-01-20T16:59:59.999,
gvkwyp5,5wcp3,2020-08-23T17:09:02.247,1,LATE_FEE,UNPAID,201000,201000,2020-08-20T16:59:59.999,
q005g46,5xaze,2020-07-20T04:14:41.340,1,INTEREST,PAID,224000,0,2020-08-20T16:59:59.000,2020-08-14T04:58:35
idkf6i8,5xaze,2020-07-20T04:14:41.340,1,PRINCIPAL,PAID,862500,0,2020-08-20T16:59:59.000,2020-08-14T04:58:35
38huu5u,5xaze,2020-07-20T04:14:41.340,2,INTEREST,PAID,155000,0,2020-09-20T16:59:59.000,2020-08-31T06:17:01
d1no3jh,5xaze,2020-07-20T04:14:41.340,2,PRINCIPAL,PAID,931500,0,2020-09-20T16:59:59.000,2020-08-31T06:17:01
1jgfyvg,5xaze,2020-07-20T04:14:41.340,3,INTEREST,PAID,80480,0,2020-10-20T16:59:59.000,2020-08-31T06:25:52
5vodzvl,5xaze,2020-07-20T04:14:41.340,3,PRINCIPAL,PAID,1006020,0,2020-10-20T16:59:59.000,2020-08-31T06:25:52
4y7kuf6,75muz,2020-07-20T07:55:33.882,1,INTEREST,PAID,0,0,2020-08-20T16:59:59.999,2020-07-20T10:01:29
1lzi15d,75muz,2020-07-20T07:55:33.882,1,PRINCIPAL,PAID,403500,0,2020-08-20T16:59:59.999,2020-07-20T10:01:29
g1s0i4i,75muz,2020-07-20T07:55:33.882,2,INTEREST,PAID,0,0,2020-09-20T16:59:59.999,2020-09-22T03:38:49
kzancrw,75muz,2020-07-20T07:55:33.882,2,PRINCIPAL,PAID,403500,0,2020-09-20T16:59:59.999,2020-09-22T03:38:49
